Index,Title,Type,Genres,User_id,Runtime_Count,Last_Watch_Timestamp
1,Five Came Back: The Reference Films,SHOW,['documentation'],3748,48,2/6/2025 22:46
2,Taxi Driver,MOVIE,"['crime', 'drama']",14658,113,9/21/2023 2:21
3,Monty Python and the Holy Grail,MOVIE,"['comedy', 'fantasy']",7064,91,12/15/2024 14:43
4,Life of Brian,MOVIE,['comedy'],3739,94,5/27/2024 21:26
5,The Exorcist,MOVIE,['horror'],48933,133,7/14/2024 12:30
6,Monty Python's Flying Circus,SHOW,"['comedy', 'european']",32267,30,2/27/2024 14:09
7,Dirty Harry,MOVIE,"['thriller', 'crime', 'action']",519612,102,6/11/2024 1:09
8,My Fair Lady,MOVIE,"['drama', 'music', 'romance', 'family']",29068,170,3/28/2024 12:26
9,The Blue Lagoon,MOVIE,"['romance', 'drama']",519613,104,5/11/2025 12:03
10,Bonnie and Clyde,MOVIE,"['drama', 'crime', 'action']",3308,110,2/28/2025 11:06
11,The Professionals,MOVIE,"['western', 'action', 'european']",43791,117,12/23/2024 18:45
12,The Guns of Navarone,MOVIE,"['war', 'action', 'drama']",519614,158,1/3/2024 6:49
13,Lupin the Third: The Castle of Cagliostro,MOVIE,"['comedy', 'animation', 'action', 'fantasy', 'family']",519615,100,1/31/2024 2:20
14,Richard Pryor: Live in Concert,MOVIE,"['comedy', 'documentation']",82426,78,5/29/2025 14:57
15,The Long Riders,MOVIE,"['western', 'crime']",20935,99,6/29/2024 20:44
16,White Christmas,MOVIE,"['romance', 'comedy', 'music']",7753,115,7/16/2024 0:34
17,Cairo Station,MOVIE,"['drama', 'crime', 'comedy']",43279,77,6/30/2024 12:41
18,The Queen,MOVIE,['documentation'],519616,68,2/19/2025 3:54
19,Hitler: A Career,MOVIE,"['documentation', 'history', 'european']",8424,150,8/6/2023 6:47
20,FTA,MOVIE,"['comedy', 'documentation', 'music']",20447,97,12/28/2024 16:23
21,Saladin the Victorious,MOVIE,"['drama', 'war', 'action', 'history', 'romance']",519618,186,6/15/2025 6:58
22,Singapore,MOVIE,"['drama', 'thriller', 'crime']",49567,158,9/7/2023 2:04
23,Dark Waters,MOVIE,"['drama', 'action', 'romance', 'thriller']",15551,120,1/20/2024 11:03
24,Alexandria… Why?,MOVIE,['drama'],475303,133,1/18/2025 2:07
25,Raya and Sakina,MOVIE,"['drama', 'thriller', 'crime', 'history']",43540,105,6/4/2024 12:11
26,No Longer Kids,MOVIE,"['comedy', 'drama']",466061,235,6/19/2024 15:18
27,Amrapali,MOVIE,['fantasy'],212023,120,5/29/2024 22:24
